5-FU	C1=C(C(=O)NC(=O)N1)F
LOVASTATIN	CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
MALOTILATE	CC(C)OC(=O)C(=C1SC=CS1)C(=O)OC(C)C
MANIDIPINE	CC1=C(C(C(=C(N1)C)C(=O)OCCN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC
MEGLUMINE	CNCC(C(C(C(CO)O)O)O)O
MENADIONE	CC1=CC(=O)C2=CC=CC=C2C1=O
MEPREDNISONE	CC1CC2C3CCC4=CC(=O)C=CC4(C3C(=O)CC2(C1(C(=O)CO)O)C)C
MESTRANOL	CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC
METHOCARBAMOL	COC1=CC=CC=C1OCC(COC(=O)N)O
METHYLPREDNISOLONE	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O
METOLAZONE	CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
MICONAZOLE	C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
MIFEPRISTONE	CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O
MIRTAZAPINE	CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
MIZORIBINE	C1=NC(=C(N1C2C(C(C(O2)CO)O)O)O)C(=O)N
MOMETASONE FUROATE	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C
MYCOPHENOLATE MOFETIL	CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)OCCN3CCOCC3)OC
MYRICETIN	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
NAFTOPIDIL	COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O
NALIDIXIC ACID	CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
NARINGENIN	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
NEVIRAPINE	CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4
NIFLUMIC ACID	C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F
NIMESULIDE	CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2
NITROFURAZONE	C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N
NOCODAZOLE	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3
NYSTATIN	CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
OLIGOMYCIN A	CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C
OMEPRAZOLE	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
OXYTETRACYCLINE	CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O
PANTOTHENIC ACID	CC(C)(CO)C(C(=O)NCCC(=O)O)O
PARTHENOLIDE	CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C
PHLORETIN	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O
PICEATANNOL	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O
PIMOBENDAN	CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC
PIPERINE	C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3
PIRARUBICIN	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)OC6CCCCO6
PREDNISONE	CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C
PREGNENOLONE	CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
PROGESTERONE	CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
PYRIMETHAMINE	CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
QUERCETIN	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
RAMIPRIL	CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O
REBAMIPIDE	C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl
RESERPINE	COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
RESVERATROL	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
RIMANTADINE	CC(C12CC3CC(C1)CC(C3)C2)N
RITONAVIR	CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
ROFECOXIB	CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
ROLIPRAM	COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3
ROXITHROMYCIN	CCC1C(C(C(C(=NOCOCCOC)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
SALICIN	C1=CC=C(C(=C1)CO)OC2C(C(C(C(O2)CO)O)O)O
SALINOMYCIN	CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)O
SESAMIN	C1C2C(COC2C3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6
SHIKIMIC ACID	C1C(C(C(C=C1C(=O)O)O)O)O
SIMVASTATIN	CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
SOTALOL	CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
SPARFLOXACIN	CC1CN(CC(N1)C)C2=C(C3=C(C(=C2F)N)C(=O)C(=CN3C4CC4)C(=O)O)F
STREPTOZOCIN	CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O
SULFAMETHIZOLE	CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N
SULFAMETHOXAZOLE	CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
SULFANILAMIDE	C1=CC(=CC=C1N)S(=O)(=O)N
SULFAPYRIDINE	C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N
TAZAROTENE	CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C
TEGAFUR	C1CC(OC1)N2C=C(C(=O)NC2=O)F
TEMOCAPRIL HYDROCHLORIDE	CCOC(=O)C(CCC1=CC=CC=C1)NC2CSC(CN(C2=O)CC(=O)O)C3=CC=CS3.Cl
TETRANDRINE	CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC
THEOBROMINE	CN1C=NC2=C1C(=O)NC(=O)N2C
THIAMPHENICOL	CS(=O)(=O)C1=CC=C(C=C1)C(C(CO)NC(=O)C(Cl)Cl)O
TIOCONAZOLE	C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl
TIOPRONIN	CC(C(=O)NCC(=O)O)S
TOLNAFTATE	CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2
TRANILAST	COC1=C(C=C(C=C1)C=CC(=O)NC2=CC=CC=C2C(=O)O)OC
TRICHLORMETHIAZIDE	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl
TRICHOSTATIN A	CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C
TRIPTOLIDE	CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2O)O7)COC6=O)C
TROSPIUM CHLORIDE	C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O.[Cl-]
URIDINE	C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
VITAMIN B12	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
WORTMANNIN	CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C
ZALTOPROFEN	CC(C1=CC2=C(C=C1)SC3=CC=CC=C3C(=O)C2)C(=O)O
ZANAMIVIR	CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)N=C(N)N
ZIDOVUDINE	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-]
ZOLMITRIPTAN	CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3
